date,Month Day,Week day,Hour,Minute,DLR Open,DCA Open,DLR Close,DCA Close,Wait Ride 0,Open Ride 0,Wait Ride 1,Open Ride 1,Wait Ride 2,Open Ride 2,Wait Ride 3,Open Ride 3,Wait Ride 4,Open Ride 4
2018-11-01,14,4,20,45,8,8,23,20,24,1,15,1,50,1,81,1,5,1
2018-11-01,14,4,21,0,8,8,23,20,24,1,15,1,40,1,73,1,5,1
2018-11-01,14,4,21,15,8,8,23,20,19,1,15,1,28,1,65,1,5,1
2018-11-01,14,4,21,30,8,8,23,20,13,1,15,1,28,1,53,1,5,1
2018-11-01,14,4,21,45,8,8,23,20,10,1,15,1,32,1,60,1,5,1
2018-11-01,14,4,22,0,8,8,23,20,10,1,15,1,33,1,34,1,5,1
2018-11-01,14,4,22,15,8,8,23,20,10,1,15,1,27,1,23,1,5,1
2018-11-01,14,4,22,30,8,8,23,20,10,1,15,1,21,1,28,1,5,1
2018-11-01,14,4,22,45,8,8,23,20,10,1,15,1,16,1,32,1,5,1
2018-11-01,14,4,23,0,8,8,23,20,10,1,15,1,13,1,35,1,5,1
2018-11-01,15,5,8,0,8,8,0,21,5,1,5,1,5,1,30,1,5,1
2018-11-01,15,5,8,15,8,8,0,21,6,1,6,1,10,1,30,1,8,1
2018-11-01,15,5,8,30,8,8,0,21,8,1,7,1,8,1,30,1,12,1
2018-11-01,15,5,8,45,8,8,0,21,10,1,9,1,9,1,30,1,15,1
2018-11-01,15,5,9,0,8,8,0,21,13,1,11,1,11,1,30,1,19,1
2018-11-01,15,5,9,15,8,8,0,21,16,1,13,1,10,1,30,1,8,1
2018-11-01,15,5,9,30,8,8,0,21,19,1,14,1,29,1,30,1,12,1
2018-11-01,15,5,9,45,8,8,0,21,15,1,18,1,29,1,30,1,15,1
2018-11-01,15,5,10,0,8,8,0,21,13,1,21,1,21,1,30,1,19,1
2018-11-01,15,5,10,15,8,8,0,21,16,1,25,1,28,1,30,1,25,1
2018-11-01,15,5,10,30,8,8,0,21,19,1,29,1,36,1,32,1,24,1
2018-11-01,15,5,10,45,8,8,0,21,22,1,18,1,42,1,37,1,34,1
2018-11-01,15,5,11,0,8,8,0,21,25,1,21,1,47,1,43,1,46,1
2018-11-01,15,5,11,15,8,8,0,21,28,1,25,1,53,1,52,1,58,1
2018-11-01,15,5,11,30,8,8,0,21,29,1,29,1,36,1,61,1,52,1
2018-11-01,15,5,11,45,8,8,0,21,27,1,18,1,40,1,65,1,42,1
2018-11-01,15,5,12,0,8,8,0,21,27,1,21,1,44,1,69,1,32,1
2018-11-01,15,5,12,15,8,8,0,21,28,1,25,1,40,1,83,1,29,1
2018-11-01,15,5,12,30,8,8,0,21,25,1,29,1,33,1,76,1,41,1
2018-11-01,15,5,12,45,8,8,0,21,30,1,18,1,33,1,70,1,45,1
2018-11-01,15,5,13,0,8,8,0,21,32,1,21,1,38,1,63,1,49,1
2018-11-01,15,5,13,15,8,8,0,21,34,1,25,1,43,1,51,1,54,1
2018-11-01,15,5,13,30,8,8,0,21,36,1,29,1,53,1,36,1,62,1
2018-11-01,15,5,13,45,8,8,0,21,38,1,20,1,40,1,29,1,62,1
2018-11-01,15,5,14,0,8,8,0,21,32,1,26,1,42,1,42,1,62,1
2018-11-01,15,5,14,15,8,8,0,21,38,1,24,1,45,1,53,1,65,1
2018-11-01,15,5,14,30,8,8,0,21,33,1,22,1,44,1,60,1,68,1
2018-11-01,15,5,14,45,8,8,0,21,31,1,20,1,42,1,68,1,68,1
2018-11-01,15,5,15,0,8,8,0,21,37,1,23,1,41,1,97,1,69,1
2018-11-01,15,5,15,15,8,8,0,21,37,1,25,1,41,1,115,1,68,1
2018-11-01,15,5,15,30,8,8,0,21,32,1,28,1,44,1,112,1,67,1
2018-11-01,15,5,15,45,8,8,0,21,26,1,30,1,46,1,99,1,68,1
2018-11-01,15,5,16,0,8,8,0,21,29,1,24,1,49,1,73,1,59,1
2018-11-01,15,5,16,15,8,8,0,21,33,1,19,1,56,1,54,1,49,1
2018-11-01,15,5,16,30,8,8,0,21,28,1,14,1,60,1,46,1,41,1
2018-11-01,15,5,16,45,8,8,0,21,33,1,13,1,46,1,50,1,34,1
2018-11-01,15,5,17,0,8,8,0,21,27,1,11,1,40,1,54,1,26,1
2018-11-01,15,5,17,15,8,8,0,21,30,1,12,1,40,1,86,1,44,1
2018-11-01,15,5,17,30,8,8,0,21,32,1,15,1,40,1,74,1,40,1
2018-11-01,15,5,17,45,8,8,0,21,35,1,22,1,45,1,68,1,37,1
2018-11-01,15,5,18,0,8,8,0,21,32,1,23,1,60,1,80,1,32,1
2018-11-01,15,5,18,15,8,8,0,21,29,1,19,1,60,1,90,1,26,1
2018-11-01,15,5,18,30,8,8,0,21,26,1,15,1,60,1,66,1,20,1
2018-11-01,15,5,18,45,8,8,0,21,28,1,11,1,60,1,48,1,14,1
2018-11-01,15,5,19,0,8,8,0,21,29,1,14,1,60,1,55,1,8,1
2018-11-01,15,5,19,15,8,8,0,21,26,1,18,1,60,1,55,1,7,1
2018-11-01,15,5,19,30,8,8,0,21,24,1,19,1,60,1,55,1,11,1
2018-11-01,15,5,19,45,8,8,0,21,22,1,17,1,60,1,62,1,12,1
2018-11-01,15,5,20,0,8,8,0,21,21,1,15,1,40,1,69,1,7,1
