year,month,date,dlr_open,dca_open,dlr_close,dca_close,weather_daily_tempHigh,weather_daily_tempLow,weather_daily_precip,parkPopulation
2018,10,1,8,8,0,22,90.81,72.75,0,312
2018,10,2,8,8,18,21,79.61,67.86,0,201
2018,10,3,8,8,23,22,76.74,64.84,0,223
2018,10,4,8,8,0,22,76.02,64.47,0.05,280
2018,10,5,8,8,19,0,76.47,64.05,0,318
2018,10,6,8,8,0,22,72.89,62.51,0,581
2018,10,7,8,8,0,22,75.04,62.19,0,366
2018,10,8,8,8,0,22,75.41,63.37,0,475
2018,10,9,8,8,18,21,75.25,61.79,0,251
2018,10,10,8,8,0,21,73.28,61.61,0,371
2018,10,11,8,8,0,22,74.21,61.07,0,379
2018,10,12,8,8,19,0,81.45,62.87,0.49,386
2018,10,13,8,8,0,22,65.3,61.67,0.5,581
2018,10,14,8,8,0,22,72.87,62.31,0,328
2018,10,15,8,8,0,22,78.78,58.62,0,350
2018,10,16,8,8,18,21,82.53,60.39,0,190
2018,10,17,8,8,0,22,81.57,60.52,0,285
2018,10,18,8,8,0,22,86.42,65.93,0,363
2018,10,19,8,8,19,0,88.97,65.25,0,378
2018,10,20,8,8,0,22,88.97,62.98,0,580
2018,10,21,8,8,0,22,81.16,61.75,0,308
2018,10,22,8,8,23,21,75.99,62.12,0,342
2018,10,23,8,8,18,21,77.18,61.54,0,150
2018,10,24,9,9,23,21,79.16,62.54,0,273
2018,10,25,8,8,0,22,80.11,61.78,0,288
2018,10,26,8,8,19,0,87.55,62.11,0,279
2018,10,27,8,8,0,22,86.85,60.47,0,488
2018,10,28,8,8,0,22,81.12,59.92,0,297
2018,10,29,8,8,18,21,59.92,75.04,0,230
2018,10,30,9,9,22,20,74.88,60.2,0,296
2018,10,31,8,8,18,21,80.47,60.01,0,124
2018,11,1,9,9,22,20,83.54,62.51,0,212
2018,11,2,8,8,0,22,89.03,61.84,0,222
2018,11,3,8,8,0,21,86.68,62.34,0,227
2018,11,4,8,8,0,22,83.56,59.06,0,221
2018,11,5,9,9,21,20,75.73,62.17,0,229
2018,11,6,9,9,22,20,74.37,60.09,0,210
2018,11,7,9,9,22,20,72.05,59.1,0,170
2018,11,8,8,8,0,20,76.22,65.21,0,218
2018,11,9,8,8,0,22,80.4,56.66,0,240
2018,11,10,8,8,0,22,77.9,51.53,0,417
2018,11,11,8,8,0,22,76.81,57.1,0,447
2018,11,12,8,8,0,22,77.41,59.17,0,369
2018,11,13,8,8,23,20,76.11,63.7,0,304
