year,month,day_of_month,day_of_week,hour_of_day,minute,dlr_open,dca_open,dlr_close,dca_close,ride-0,wait-0,open-0,ride-1,wait-1,open-1,ride-2,wait-2,open-2,ride-3,wait-3,open-3,ride-4,wait-4,open-4
2017, 11, 18, 7, 22, 45, 08, 08, 00, 22, 353405, 25, 1, 353293, 10, 1, 353347, 13, 1, 353435, 51, 1, 353437, 10, 1
2017, 11, 18, 7, 23, 0, 08, 08, 00, 22, 353405, 25, 1, 353293, 10, 1, 353347, 18, 1, 353435, 49, 1, 353437, 10, 1
2017, 11, 18, 7, 23, 15, 08, 08, 00, 22, 353405, 25, 1, 353293, 10, 1, 353347, 25, 1, 353435, 46, 1, 353437, 10, 1
2017, 11, 18, 7, 23, 30, 08, 08, 00, 22, 353405, 25, 1, 353293, 10, 1, 353347, 19, 1, 353435, 41, 1, 353437, 10, 1
2017, 11, 18, 7, 23, 45, 08, 08, 00, 22, 353405, 25, 1, 353293, 10, 1, 353347, 13, 1, 353435, 33, 1, 353437, 10, 1
2017, 11, 19, 1, 8, 0, 08, 08, 00, 23, 353405, 5, 1, 353293, 5, 1, 353347, 5, 1, 353435, 10, 1, 353437, 5, 1
2017, 11, 19, 1, 8, 15, 08, 08, 00, 23, 353405, 7, 1, 353293, 9, 1, 353347, 7, 1, 353435, 25, 1, 353437, 7, 1
2017, 11, 19, 1, 8, 30, 08, 08, 00, 23, 353405, 11, 1, 353293, 8, 1, 353347, 10, 1, 353435, 35, 1, 353437, 7, 1
2017, 11, 19, 1, 8, 45, 08, 08, 00, 23, 353405, 14, 1, 353293, 10, 1, 353347, 13, 1, 353435, 46, 1, 353437, 7, 1
2017, 11, 19, 1, 9, 0, 08, 08, 00, 23, 353405, 17, 1, 353293, 12, 1, 353347, 16, 1, 353435, 54, 1, 353437, 8, 1
2017, 11, 19, 1, 9, 15, 08, 08, 00, 23, 353405, 7, 1, 353293, 9, 1, 353347, 22, 1, 353435, 46, 1, 353437, 7, 1
2017, 11, 19, 1, 9, 30, 08, 08, 00, 23, 353405, 11, 1, 353293, 16, 1, 353347, 27, 1, 353435, 39, 1, 353437, 7, 1
2017, 11, 19, 1, 9, 45, 08, 08, 00, 23, 353405, 14, 1, 353293, 20, 1, 353347, 33, 1, 353435, 31, 1, 353437, 7, 1
2017, 11, 19, 1, 10, 0, 08, 08, 00, 23, 353405, 17, 1, 353293, 24, 1, 353347, 36, 1, 353435, 41, 1, 353437, 8, 1
2017, 11, 19, 1, 10, 15, 08, 08, 00, 23, 353405, 23, 1, 353293, 28, 1, 353347, 38, 1, 353435, 54, 1, 353437, 7, 1
2017, 11, 19, 1, 10, 30, 08, 08, 00, 23, 353405, 27, 1, 353293, 16, 1, 353347, 41, 1, 353435, 64, 1, 353437, 23, 1
2017, 11, 19, 1, 10, 45, 08, 08, 00, 23, 353405, 33, 1, 353293, 20, 1, 353347, 49, 1, 353435, 70, 1, 353437, 34, 1
2017, 11, 19, 1, 11, 0, 08, 08, 00, 23, 353405, 36, 1, 353293, 24, 1, 353347, 60, 1, 353435, 66, 1, 353437, 40, 1
2017, 11, 19, 1, 11, 15, 08, 08, 00, 23, 353405, 37, 1, 353293, 28, 1, 353347, 62, 1, 353435, 68, 1, 353437, 44, 1
2017, 11, 19, 1, 11, 30, 08, 08, 00, 23, 353405, 35, 1, 353293, 39, 1, 353347, 46, 1, 353435, 64, 1, 353437, 31, 1
2017, 11, 19, 1, 11, 45, 08, 08, 00, 23, 353405, 33, 1, 353293, 25, 1, 353347, 54, 1, 353435, 70, 1, 353437, 52, 1
2017, 11, 19, 1, 12, 0, 08, 08, 00, 23, 353405, 36, 1, 353293, 17, 1, 353347, 60, 1, 353435, 75, 1, 353437, 33, 1
2017, 11, 19, 1, 12, 15, 08, 08, 00, 23, 353405, 37, 1, 353293, 17, 1, 353347, 54, 1, 353435, 75, 1, 353437, 47, 1
2017, 11, 19, 1, 12, 30, 08, 08, 00, 23, 353405, 35, 1, 353293, 21, 1, 353347, 48, 1, 353435, 75, 1, 353437, 37, 1
2017, 11, 19, 1, 12, 45, 08, 08, 00, 23, 353405, 33, 1, 353293, 24, 1, 353347, 51, 1, 353435, 75, 1, 353437, 42, 1
2017, 11, 19, 1, 13, 0, 08, 08, 00, 23, 353405, 36, 1, 353293, 28, 1, 353347, 51, 1, 353435, 56, 1, 353437, 50, 1
2017, 11, 19, 1, 13, 15, 08, 08, 00, 23, 353405, 33, 1, 353293, 22, 1, 353347, 51, 1, 353435, 28, 1, 353437, 52, 1
2017, 11, 19, 1, 13, 30, 08, 08, 00, 23, 353405, 38, 1, 353293, 15, 1, 353347, 66, 1, 353435, 68, 1, 353437, 66, 1
2017, 11, 19, 1, 13, 45, 08, 08, 00, 23, 353405, 34, 1, 353293, 19, 1, 353347, 70, 1, 353435, 70, 1, 353437, 43, 1
2017, 11, 19, 1, 14, 0, 08, 08, 00, 23, 353405, 31, 1, 353293, 23, 1, 353347, 70, 1, 353435, 64, 1, 353437, 45, 1
2017, 11, 19, 1, 14, 15, 08, 08, 00, 23, 353405, 34, 1, 353293, 30, 1, 353347, 70, 1, 353435, 57, 1, 353437, 68, 1
2017, 11, 19, 1, 14, 30, 08, 08, 00, 23, 353405, 38, 1, 353293, 39, 1, 353347, 70, 1, 353435, 63, 1, 353437, 64, 1
2017, 11, 19, 1, 14, 45, 08, 08, 00, 23, 353405, 42, 1, 353293, 44, 1, 353347, 70, 1, 353435, 75, 1, 353437, 82, 1
2017, 11, 19, 1, 15, 0, 08, 08, 00, 23, 353405, 49, 1, 353293, 39, 1, 353347, 70, 1, 353435, 66, 1, 353437, 112, 1
2017, 11, 19, 1, 15, 15, 08, 08, 00, 23, 353405, 62, 1, 353293, 33, 1, 353347, 70, 1, 353435, 65, 1, 353437, 104, 1
2017, 11, 19, 1, 15, 30, 08, 08, 00, 23, 353405, 57, 1, 353293, 28, 1, 353347, 70, 1, 353435, 77, 1, 353437, 85, 1
2017, 11, 19, 1, 15, 45, 08, 08, 00, 23, 353405, 46, 1, 353293, 29, 1, 353347, 51, 1, 353435, 89, 1, 353437, 70, 1
2017, 11, 19, 1, 16, 0, 08, 08, 00, 23, 353405, 33, 1, 353293, 27, 1, 353347, 38, 1, 353435, 90, 1, 353437, 36, 1
2017, 11, 19, 1, 16, 15, 08, 08, 00, 23, 353405, 24, 1, 353293, 28, 1, 353347, 43, 1, 353435, 90, 1, 353437, 47, 1
2017, 11, 19, 1, 16, 30, 08, 08, 00, 23, 353405, 35, 1, 353293, 29, 1, 353347, 90, 1, 353435, 90, 1, 353437, 58, 1
2017, 11, 19, 1, 16, 45, 08, 08, 00, 23, 353405, 40, 1, 353293, 29, 1, 353347, 90, 1, 353435, 90, 1, 353437, 68, 1
2017, 11, 19, 1, 17, 0, 08, 08, 00, 23, 353405, 33, 1, 353293, 27, 1, 353347, 73, 1, 353435, 90, 1, 353437, 62, 1
